Ulises Ortega, Brasileña
Santiago Andrade, Portuguesa
Zander Jiménez, Mexicana
Zachary Bianchi, Mexicana
Xavier Cardoso, Uruguaya
Zachary Espinoza, Alemana
Piero Fox, Italiana
Hector Torres, Uruguaya
Pablo Torres, Inglesa
Oliver Rocha, Portuguesa
Wesley Espinoza, Brasileña
Luca Thatcher, Alemana
Bruno Sousa, Mexicana
Elias Santos, Francesa
Omar Valero, Uruguaya
Hugo Alvarado, Francesa
Julián Sánchez, Mexicana
Gideon Navarro, Española
Thiago Herrera, Colombiana
Quincy Gutiérrez, Italiana
Brendan Hunt, Portuguesa
Fernando Masson, Francesa
Pablo Ramírez, Brasileña
Oliver Sandoval, Alemana
Felipe Rocha, Italiana
Hugo López, Inglesa
Hector Navarro, Portuguesa
Marco Jiménez, Francesa
Ignacio López, Uruguaya
Winston Masson, Alemana
Victor Medina, Española
Nicolás Conti, Colombiana
Sebastián Vargas, Inglesa
Ian Miranda, Española
Wesley Morales, Brasileña
Elias Duarte, Portuguesa
Hugo Jiménez, Española
Yago Duarte, Alemana
Rafael Marino, Portuguesa
Wesley Vázquez, Portuguesa
Omar Morales, Alemana
Bruno Sandoval, Inglesa
Piero López, Brasileña
Alejandro Aguero, Colombiana
Ulysses Hollingsworth, Brasileña
Oliver Medina, Portuguesa
Elias Sánchez, Italiana
Nicolás Ruiz, Brasileña
Julián Ruiz, Uruguaya
Xavier Gutiérrez, Italiana
Ulysses Navarro, Inglesa
Gustavo Cortez, Mexicana
Nicolás Pizarro, Francesa
Rafael Cortez, Francesa
Khalid Medina, Colombiana
Olivier Barboza, Mexicana
Yuri López, Colombiana
Gustavo Lima, Colombiana
Marco López, Francesa
Ulysses Espinoza, Portuguesa
Luca Clarke, Francesa
Yago Salas, Inglesa
Luca Masson, Brasileña
Giovanni Alvarado, Portuguesa
Isaac Morales, Italiana
Matías López, Brasileña
Winston Moretti, Uruguaya
Victor Ríos, Alemana
Wesley Mendoza, Portuguesa
Bruno Capello, Mexicana
Xavier Herrera, Mexicana
Alberto Morales, Italiana
Yago Valero, Brasileña
Sebastián Beckett, Brasileña
Dario Beckett, Portuguesa
Nicolás Cortez, Italiana
Jasper López, Uruguaya
Zachary Duarte, Inglesa
Hugo Thatcher, Española
Victor Moretti, Brasileña
Nicolás Conti, Brasileña
Pablo Santana, Colombiana
Luca López, Inglesa
Gustavo Salinas, Italiana
Pablo Capello, Española
Matteo Valero, Mexicana
Sergio Morales, Española
Matías Santana, Brasileña
Xander Ramírez, Española
Thiago Duval, Portuguesa
Omar Morales, Mexicana
Kieran Morales, Portuguesa
Felipe Morales, Portuguesa
Yuri Montero, Española
Hugo Duval, Portuguesa
Victor Cortez, Alemana
Oliver Vázquez, Francesa
Dario Serrano, Portuguesa
Marco Wallace, Alemana
Alejandro Beaumont, Portuguesa
Khalid Thornton, Francesa
Ian Morales, Española
Santiago Rivas, Española
Matías Capello, Mexicana
Fernando Serrano, Colombiana
Elias Ramírez, Italiana
Xander López, Española
Xavier Sánchez, Inglesa
Giovanni Fabre, Portuguesa
Adrián Salas, Brasileña
Fernando Morales, Alemana
Kieran Clarke, Alemana
Ulises Lima, Uruguaya
Julian Morales, Inglesa
Felipe Silva, Italiana
Julián Cardoso, Francesa
Wesley Aguirre, Inglesa
Nicolás Ortega, Alemana
Sergio Rivera, Inglesa
Ulysses Thornton, Italiana
Adrián Conti, Brasileña
Quincy Hawthorne, Mexicana
Zander Sousa, Alemana
Isaac Pacheco, Mexicana
Isaac Aguero, Inglesa
Hugo Thornton, Colombiana
Dario Mendoza, Uruguaya
Ian Fox, Inglesa
Ian Romano, Francesa
Julián Aguirre, Francesa
Jasper Pacheco, Mexicana
Ulysses Pizarro, Italiana
Thiago Moretti, Mexicana
Thiago Romano, Francesa
Yuri Lafleur, Española
Xavier Marino, Brasileña
Marco Mendoza, Francesa
Jasper Moretti, Italiana
Elias Aguero, Brasileña
Rafael Cardoso, Francesa
Gustavo Marino, Colombiana
Matías Vargas, Colombiana
Hector Pacheco, Inglesa
Fernando Pacheco, Alemana
Fernando Fisher, Colombiana
Sergio Aguirre, Portuguesa
Gideon Barboza, Española
Kieran Aguero, Española
Yago Morales, Uruguaya
Elias Valero, Mexicana
Gideon Santos, Portuguesa
Yuri Sousa, Brasileña
Matteo Aguirre, Alemana
Brendan Jiménez, Brasileña
Luca Serrano, Uruguaya
Ian Jiménez, Española
Cameron Miranda, Colombiana
Piero Cruz, Francesa
Matteo Medina, Colombiana
Xavier Pizarro, Italiana
Pablo Cortez, Uruguaya
Rafael Masson, Brasileña
Gideon Lima, Portuguesa
Julian Rivera, Italiana
Caden Masson, Francesa
Matteo Torres, Italiana
Quincy Wallace, Francesa
Dario Duarte, Alemana
Pablo Santana, Uruguaya
Thiago Padilla, Portuguesa
Hugo Fabre, Portuguesa
Nicolás López, Francesa
Bruno Alvarado, Alemana
Matteo Silva, Colombiana
Emilio Barboza, Alemana
Zachary Sousa, Alemana
Caden Ortega, Brasileña
Hugo Ríos, Inglesa
Matías Romano, Portuguesa
Hugo Serrano, Alemana
Marco Aguirre, Alemana
Emilio Fabre, Portuguesa
Quinn Serrano, Brasileña
Quinn Ramírez, Italiana
Bruno Fox, Española
Alejandro Duval, Mexicana
Wesley Mendoza, Inglesa
Dario Torres, Portuguesa
Emilio Miranda, Alemana
Gustavo Sandoval, Alemana
Nicolás López, Uruguaya
Omar Ríos, Inglesa
Alberto Salas, Portuguesa
Zachary Fox, Italiana
Yago Pacheco, Francesa
